preusuel,decade,male,female,total,female_ratio,mixedness,gender_type
AALIYAH,2000,0.0,284.0,284.0,1.0,0.5,Mostly female
AALIYAH,2010,0.0,1298.0,1298.0,1.0,0.5,Mostly female
AALIYAH,2020,0.0,687.0,687.0,1.0,0.5,Mostly female
AARON,1990,220.0,0.0,220.0,0.0,0.5,Mostly male
AARON,2000,5178.0,0.0,5178.0,0.0,0.5,Mostly male
AARON,2010,20566.0,0.0,20566.0,0.0,0.5,Mostly male
AARON,2020,7084.0,0.0,7084.0,0.0,0.5,Mostly male
ABBY,2000,0.0,134.0,134.0,1.0,0.5,Mostly female
ABBY,2010,0.0,873.0,873.0,1.0,0.5,Mostly female
ABBY,2020,0.0,546.0,546.0,1.0,0.5,Mostly female
ABD,1960,117.0,0.0,117.0,0.0,0.5,Mostly male
ABD,2010,214.0,0.0,214.0,0.0,0.5,Mostly male
ABDALLAH,1960,369.0,0.0,369.0,0.0,0.5,Mostly male
ABDALLAH,1970,287.0,0.0,287.0,0.0,0.5,Mostly male
ABDALLAH,1980,238.0,0.0,238.0,0.0,0.5,Mostly male
ABDALLAH,1990,182.0,0.0,182.0,0.0,0.5,Mostly male
ABDALLAH,2000,906.0,0.0,906.0,0.0,0.5,Mostly male
ABDALLAH,2010,2008.0,0.0,2008.0,0.0,0.5,Mostly male
ABDALLAH,2020,381.0,0.0,381.0,0.0,0.5,Mostly male
ABDEL,1950,236.0,0.0,236.0,0.0,0.5,Mostly male
ABDEL,1960,538.0,0.0,538.0,0.0,0.5,Mostly male
ABDEL,1970,468.0,0.0,468.0,0.0,0.5,Mostly male
ABDEL,1980,522.0,0.0,522.0,0.0,0.5,Mostly male
ABDEL,1990,269.0,0.0,269.0,0.0,0.5,Mostly male
ABDEL,2000,304.0,0.0,304.0,0.0,0.5,Mostly male
ABDEL,2010,376.0,0.0,376.0,0.0,0.5,Mostly male
ABDELAZIZ,1960,258.0,0.0,258.0,0.0,0.5,Mostly male
ABDELAZIZ,1970,286.0,0.0,286.0,0.0,0.5,Mostly male
ABDELAZIZ,1980,214.0,0.0,214.0,0.0,0.5,Mostly male
ABDELHAFID,1960,137.0,0.0,137.0,0.0,0.5,Mostly male
ABDELHAKIM,1960,111.0,0.0,111.0,0.0,0.5,Mostly male
ABDELHAKIM,1970,113.0,0.0,113.0,0.0,0.5,Mostly male
ABDELHAMID,1960,130.0,0.0,130.0,0.0,0.5,Mostly male
ABDELKADER,1950,334.0,0.0,334.0,0.0,0.5,Mostly male
ABDELKADER,1960,1839.0,0.0,1839.0,0.0,0.5,Mostly male
