preusuel,dpt,decade,nombre,total_births,rate_per_10k
ALAIN,01,1920,4,45220,0.88
ALAIN,01,1930,52,39519,13.16
ALAIN,01,1940,743,46636,159.32
ALAIN,01,1950,1177,46328,254.06
ALAIN,01,1960,620,42903,144.51
ALAIN,01,1970,88,35295,24.93
ALAIN,01,1980,16,31058,5.15
ALAIN,01,1990,3,27120,1.11
ALAIN,02,1920,27,83649,3.23
ALAIN,02,1930,209,74417,28.08
ALAIN,02,1940,1772,80002,221.49
ALAIN,02,1950,2461,104861,234.69
ALAIN,02,1960,1257,95635,131.44
ALAIN,02,1970,246,77785,31.63
ALAIN,02,1980,48,70483,6.81
ALAIN,02,1990,6,59153,1.01
ALAIN,03,1920,6,45483,1.32
ALAIN,03,1930,96,42214,22.74
ALAIN,03,1940,1113,54894,202.75
ALAIN,03,1950,1869,58868,317.49
ALAIN,03,1960,827,56050,147.55
ALAIN,03,1970,104,46184,22.52
ALAIN,03,1980,28,37228,7.52
ALAIN,04,1930,24,8196,29.28
ALAIN,04,1940,321,10419,308.09
ALAIN,04,1950,328,10254,319.88
ALAIN,04,1960,211,12411,170.01
ALAIN,04,1970,44,8949,49.17
ALAIN,04,1980,4,7781,5.14
ALAIN,05,1930,27,10691,25.25
ALAIN,05,1940,296,13024,227.27
ALAIN,05,1950,341,12889,264.57
ALAIN,05,1960,205,12801,160.14
ALAIN,05,1970,34,9865,34.47
ALAIN,06,1920,16,50334,3.18
ALAIN,06,1930,207,49731,41.62
ALAIN,06,1940,1398,53884,259.45
ALAIN,06,1950,1465,57861,253.19
ALAIN,06,1960,1329,75290,176.52
ALAIN,06,1970,303,73155,41.42
ALAIN,06,1980,117,88391,13.24
ALAIN,06,1990,34,94344,3.6
ALAIN,06,2000,12,93641,1.28
ALAIN,06,2010,6,90303,0.66
ALAIN,07,1920,4,41255,0.97
ALAIN,07,1930,80,34861,22.95
ALAIN,07,1940,774,38930,198.82
ALAIN,07,1950,1028,35165,292.34
ALAIN,07,1960,458,28930,158.31
ALAIN,07,1970,49,21484,22.81
ALAIN,07,1980,10,21335,4.69
ALAIN,08,1920,21,46690,4.5
ALAIN,08,1930,169,43471,38.88
ALAIN,08,1940,873,41117,212.32
ALAIN,08,1950,1350,60617,222.71
ALAIN,08,1960,733,57103,128.36
ALAIN,08,1970,139,42072,33.04
ALAIN,08,1980,22,35658,6.17
ALAIN,09,1930,18,14777,12.18
ALAIN,09,1940,300,17154,174.89
ALAIN,09,1950,594,17993,330.13
ALAIN,09,1960,334,15090,221.34
ALAIN,09,1970,46,9737,47.24
ALAIN,10,1930,120,32975,36.39
ALAIN,10,1940,874,38595,226.45
ALAIN,10,1950,1168,45569,256.31
ALAIN,10,1960,618,44319,139.44
ALAIN,10,1970,101,37816,26.71
ALAIN,10,1980,20,31686,6.31
ALAIN,10,1990,3,26938,1.11
ALAIN,11,1920,3,37989,0.79
ALAIN,11,1930,63,32673,19.28
ALAIN,11,1940,701,37003,189.44
ALAIN,11,1950,1067,36936,288.88
ALAIN,11,1960,640,34279,186.7
ALAIN,11,1970,146,26695,54.69
ALAIN,11,1980,26,25234,10.3
ALAIN,11,1990,4,23387,1.71
ALAIN,12,1900,3,44702,0.67
ALAIN,12,1920,17,47489,3.58
ALAIN,12,1930,103,42531,24.22
ALAIN,12,1940,786,44481,176.7
ALAIN,12,1950,1322,44695,295.78
ALAIN,12,1960,717,37676,190.31
ALAIN,12,1970,81,28337,28.58
ALAIN,13,1920,52,119321,4.36
ALAIN,13,1930,373,113354,32.91
ALAIN,13,1940,3522,141405,249.07
ALAIN,13,1950,4551,168780,269.64
ALAIN,13,1960,3368,207674,162.18
ALAIN,13,1970,875,202326,43.25
ALAIN,13,1980,294,210950,13.94
ALAIN,13,1990,112,198767,5.63
ALAIN,13,2000,30,207191,1.45
ALAIN,13,2010,4,210449,0.19
ALAIN,13,2020,6,58640,1.02
ALAIN,14,1910,6,40999,1.46
ALAIN,14,1920,29,64551,4.49
ALAIN,14,1930,171,66572,25.69
ALAIN,14,1940,1610,77375,208.08
ALAIN,14,1950,2706,101260,267.23
ALAIN,14,1960,1211,97129,124.68
ALAIN,14,1970,207,91882,22.53
ALAIN,14,1980,35,86843,4.03
ALAIN,14,1990,7,75723,0.92
ALAIN,15,1930,22,26746,8.23
ALAIN,15,1940,500,29385,170.15
ALAIN,15,1950,976,31381,311.02
ALAIN,15,1960,551,26568,207.39
ALAIN,15,1970,87,20647,42.14
ALAIN,16,1930,86,42051,20.45
ALAIN,16,1940,839,47665,176.02
ALAIN,16,1950,1616,56085,288.13
ALAIN,16,1960,831,52889,157.12
ALAIN,16,1970,150,42963,34.91
ALAIN,16,1980,18,35969,5.0
ALAIN,17,1920,7,60199,1.16
ALAIN,17,1930,90,58097,15.49
ALAIN,17,1940,1241,67715,183.27
ALAIN,17,1950,2267,86420,262.32
ALAIN,17,1960,1161,76217,152.33
ALAIN,17,1970,155,61774,25.09
ALAIN,17,1980,28,53359,5.25
ALAIN,17,1990,3,45775,0.66
ALAIN,18,1910,6,29638,2.02
ALAIN,18,1920,23,37212,6.18
ALAIN,18,1930,109,33004,33.03
ALAIN,18,1940,1004,39999,251.01
